bg_households_sum,bg_aggregate_income_sum,GEOID
1184.3928248992506,125658688.1164282,48029-4109
454.317625808611,58593617.76562549,48029-4068
1967.0,242960400.0,48029-4046
1001.841095890411,62301386.940639265,48029-3118
2115.9615765664034,132638429.56794013,48029-4047
1111.769601981189,71899722.0678659,48029-4102
10.134680134680133,627572.3905723905,48029-4181
2002.158904109589,104201313.05936073,48029-3159
1539.9897417611878,149665562.46834037,48029-3122
3265.171428571429,377862354.20523137,48029-3001
912.3333333333334,103959950.34414946,48029-3154
954.6666666666666,84654349.65585054,48029-3083
959.0,79406100.0,48029-3085
878.0,86660300.0,48029-3180
1755.0,153336400.0,48029-3120
1546.0,185726500.0,48029-3104
419.127252146024,51666945.83529855,48029-1145
2491.616275830081,401347109.1207731,48029-3039
792.1797788865539,73257196.36455658,48029-3153
1693.6651420317767,192120096.12421763,48029-3059
2172.8304793522584,196961641.16710305,48029-3090
1968.3550164149667,101893605.5832611,48029-4024
2681.4614803625377,176502734.40332326,48029-4033
1404.3968850640078,70679689.73023051,48029-4037
824.0,34527100.0,48029-4039
1194.4852773440996,67624186.96752055,48029-4034
1603.5315703840865,95054947.17912236,48029-4036
1394.0308124879934,64473064.11768472,48029-4041
582.6897226559004,33841650.53247946,48029-4062
2777.0001068971383,251427289.6013494,48029-4077
1624.999893102862,137455110.39865056,48029-4070
46.72482014388489,2580792.4460431654,48029-4167
819.1814841884684,44796402.9959591,48029-4040
1387.4903029977436,84809288.16177788,48029-4082
89.8902791145332,5448344.177093359,48029-4125
12.891241578440809,781351.6843118384,48029-4035
1422.626984126984,81217368.12169312,48029-4044
794.7163661905599,97857220.24940841,48029-4071
1753.8198940519355,215053914.53646263,48029-4043
1369.4195083267248,135677659.31800157,48029-4058
359.43837753510144,50209048.361934476,48029-4081
945.8391371340524,136598431.4329738,48029-4087
1118.3924391058847,123259843.31757246,48029-4126
3400.0,296154400.0,48029-3058
1708.6142371538892,115350134.14144748,48029-3056
972.0,140403600.0,48029-3073
1305.0,152241500.0,48029-3074
643.1491464510333,61348372.77628032,48029-3142
903.1430395913155,199216430.39591315,48029-3126
1455.2155052097273,289379029.9338733,48029-3096
1872.137868829623,336496556.45179075,48029-3174
1742.238831167262,281863923.84198177,48029-3055
1283.2308593522453,260353246.347972,48029-3017
1310.655633291532,294255987.56262714,48029-3034
3029.3651905448705,466045793.7714109,48029-3094
11.735779816513762,2698499.4495412847,48029-3097
1648.995059646911,121032090.99227424,48029-1040
0.0,0.0,48029-1090
81.90581717451524,4619310.8033241,48029-1096
762.5858849019611,45339316.42078967,48029-1026
1438.168888888889,89003076.0,48029-1013
1360.0,75863000.0,48029-1029
730.0,35823100.0,48029-2017
563.4748723172573,28014295.2644631,48029-1088
288.9896059799823,14291918.18472064,48029-1078
1029.460015505095,34430710.67103044,48029-2029
787.4980567840615,35921968.99162017,48029-2030
271.64202334630346,12080786.089494163,48029-2103
490.5340857071217,21826083.45088215,48029-2071
726.9640564826701,33471406.675224647,48029-2008
693.1107954545455,44631295.21416084,48029-1022
2190.1354683747,263586696.7493995,48029-1143
735.165955633764,42395548.150994204,48029-2075
1332.9702007675353,82092214.95353281,48029-1023
802.5477870437766,47328860.8220562,48029-1014
1100.4861793111386,67483527.73053901,48029-1007
964.2794876223728,61999988.29171445,48029-1015
1080.7395626242544,66155540.854870774,48029-1021
791.0091921483044,113000095.78038104,48029-1016
424.36378696346554,22462257.19777004,48029-1097
1580.676215355974,86986975.6589673,48029-1006
434.29630964177403,22644971.940877963,48029-1005
390.8415051311289,16674605.815279363,48029-2032
960.855090167946,54073668.96306051,48029-1077
524.787910324592,38772147.97542637,48029-2018
1560.133771029955,64806267.54205991,48029-2031
486.5018578102082,20976509.8738932,48029-2079
1221.7956140269623,48461370.566347666,48029-2070
897.1440659073832,27085908.793521024,48029-2002
630.75,52243463.719512194,48029-1098
1033.0,36315800.0,48029-2001
250.3071364046974,44712833.78500452,48029-1001
786.0,47653700.0,48029-2016
1192.205354297442,53511259.234533235,48029-2015
597.6466380543634,26439351.21602289,48029-2074
909.0,49892000.0,48029-2014
945.3579766536965,58260313.91050584,48029-2011
975.6259970658173,46936794.12459948,48029-2012
662.8909710391823,42309226.9165247,48029-2013
1444.870026525199,99867295.75596817,48029-2025
613.6079308704891,32438997.3913543,48029-2081
1878.5137207666498,123476376.11255984,48029-2028
1356.64440373969,53779248.715823874,48029-2111
389.0,29093600.0,48029-2083
1012.6063601007424,79305439.79334182,48029-2046
995.0,65378900.0,48029-2047
1355.7069988137605,79150677.34282325,48029-2060
513.0,34706400.0,48029-2062
1114.6037592418606,61516365.715687245,48029-2007
1605.2147295629145,65829926.91306129,48029-2003
634.1204809635117,35974336.69957609,48029-2005
1803.2108188164066,95371865.63246417,48029-2004
72.65868886576483,4912172.216441208,48029-2104
457.65459302347034,18684944.85542748,48029-2033
1012.9662600570985,25724512.016610432,48029-2034
1114.4995074368433,58174919.35604064,48029-4015
695.1933981331107,90431639.03465724,48029-2045
898.8643101482326,53346215.50741163,48029-2039
1068.0,54209100.0,48029-2048
1918.0,113679300.0,48029-2059
1122.0,66416700.0,48029-2085
1500.3051013261893,94663414.77594851,48029-2058
984.018411967779,76305523.36018412,48029-4157
707.5236601177576,44096847.96910633,48029-2052
1441.8820805953776,107690827.69699837,48029-4155
683.6396526772793,57856293.560057886,48029-2053
1422.9901520369385,69104776.89277212,48029-2057
758.5414338418353,54961066.80211515,48029-2056
1008.1737373737374,39200006.06060606,48029-1115
701.8160316407666,31039755.807495482,48029-1018
690.7853286572407,73796876.5622121,48029-2141
161.81784414354095,5695861.213886831,48029-1017
470.55811099261143,29955714.497988377,48029-1028
612.670704845815,32375894.273127753,48029-1004
808.0236737136019,45100337.00039888,48029-1019
